Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9453.479999999998,113441.76,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,36.5,438.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,515.7,6188.40,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,4121.2,49454.40,USD,,"Data transfer out to internet (50000 GB per month), Data transfer out to origin (1000 GB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1451,17412.00,USD,,"S3 Standard storage (50000 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000000), GET, SELECT, and all other requests from S3 Standard (40000000), Data returned by S3 Select (50000 GB per month), Data scanned by S3 Select (100000 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),Web server and application server,Amazon EC2 ,0,788.4,9460.80,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 60), Advance EC2 instance (t3.medium), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Master DB and replica DB,Amazon EC2 ,0,1923.8258,23085.91,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m6i.8xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (enabled), EBS Storage amount (5000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (5 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,616.85,7402.20,USD,,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
